List Date,company_name,issue_size(Cr),QIB_subscription,NII_subscription,RII_subscription,Total_subscription,offer_price(Rs),list_price(Rs),listing_gains(%)
09-Aug-24,Ola Electric Mobil...,6145.56,5.31,2.4,3.92,4.27,76,75.99,-0.01
08-Aug-24,Ceigall India Ltd,1252.66,31.5,14.42,3.77,13.78,401,413,2.99
06-Aug-24,Akums Drugs & Phar...,1856.74,90.09,42.21,21.3,63.56,679,725,6.77
26-Jul-24,Sanstar Ltd,510.55,145.68,136.5,24.23,82.99,95,106.4,12
10-Jul-24,Emcure Pharmaceuti...,1952.03,195.83,48.32,7.21,67.87,1008,1325.05,31.45
10-Jul-24,Bansal Wire Indust...,745,146.05,51.46,13.64,59.57,256,352.05,37.52
03-Jul-24,Vraj Iron & Steel ...,171,163.9,208.81,54.93,119.04,207,240,15.94
02-Jul-24,Allied Blenders & ...,1500,50.37,32.4,4.51,23.55,281,318.1,13.2
28-Jun-24,Stanley Lifestyles...,537.02,0.74,8.86,6.11,5.22,369,499,35.23
26-Jun-24,Akme Fintrade (Ind...,132,28.12,130.33,45.78,55.12,120,125.7,4.75
26-Jun-24,DEE Development En...,418.01,201.91,144,23.42,99.56,203,325,60.1
18-Jun-24,Le Travenues Techn...,740.1,106.73,110.53,54.85,98.34,93,135,45.16
10-Jun-24,Kronox Lab Science...,130.15,89.03,302.99,55.72,118.22,136,165,21.32
30-May-24,AWFIS Space Soluti...,598.93,116.95,129.81,54.58,108.56,383,432.25,12.86
23-May-24,Go Digit General I...,2614.65,12.56,7.24,4.27,9.6,272,281.1,3.35
15-May-24,TBO Tek Ltd,1550.81,125.51,50.6,25.74,86.7,920,1380,50
15-May-24,Aadhar Housing Fin...,3000,72.78,16.5,2.46,25.49,315,314.3,-0.22
13-May-24,Indegene Ltd,1841.76,197.55,55.07,7.95,69.91,452,659.7,45.95
30-Apr-24,JNK India Ltd,649.47,75.72,23.26,4.11,28.13,415,620,49.4
25-Apr-24,Vodafone Idea Ltd,18000,17.56,4.13,0.92,6.36,11,12,9.09
12-Apr-24,Bharti Hexacom Ltd,4275,48.57,10.52,2.83,29.88,570,755.2,32.49
03-Apr-24,SRM Contractors Lt...,130.2,59.59,214.94,46.97,86.57,210,225,7.14
21-Mar-24,Krystal Integrated...,300.12,7.33,43.91,3.32,13.21,715,795,11.19
19-Mar-24,Popular Vehicles &...,601.55,1.97,0.66,1.05,1.23,295,292,-1.02
14-Mar-24,Gopal Snacks Ltd,650,17.5,9.5,4.01,9.02,401,350,-12.72
13-Mar-24,J.G.Chemicals Ltd,251.19,32.09,46.33,17.44,27.78,221,211,-4.52
12-Mar-24,R K Swamy Ltd,423.56,20.58,34.36,34.03,25.94,288,252,-12.5
07-Mar-24,Mukka Proteins Ltd,224,189.28,250.38,58.52,136.99,28,44,57.14
12-Mar-24,Indus Infra Trust,2499.99,8.92,6.93,0,8.01,100,101,1
05-Mar-24,Exicom Tele-System...,429,121.8,153.22,119.59,129.54,142,264,85.92
05-Mar-24,Platinum Industrie...,235.32,151,141.83,50.99,99.03,171,228,33.33
29-Feb-24,GPT Healthcare Ltd,525.14,17.3,11.02,2.44,8.52,186,216.15,16.21
28-Feb-24,Juniper Hotels Ltd,1800,0,0.06,0.52,0.11,360,361.2,0.33
20-Feb-24,Vibhor Steel Tubes...,72.17,178.73,721.34,188.17,298.86,151,421,178.81
16-Feb-24,Entero Healthcare ...,1600,2.28,0.22,1.33,1.53,1258,1245,-1.03
14-Feb-24,Jana Small Finance...,570,38.75,25.05,5.46,18.5,414,396,-4.35
14-Feb-24,Capital Small Fina...,523.07,6.64,4.05,2.49,4,468,435,-7.05
14-Feb-24,Rashi Peripherals ...,600,143.66,62.75,10.44,59.71,311,335,7.72
12-Feb-24,Apeejay Surrendra ...,920,75.14,52.41,30.35,59.66,155,187,20.65
